FID,Id,Site,Circrat,Date,Spec_Code,ColonyID,PatchID,PatchName,Poly_Area,Poly_Perim,LinkTP_Bac,LinkTP_For,Notes,TimePt,Shape_Leng,Shape_Area
66,0,OAH22,0,08/01/2016,POSP, ,157,OAH22_00_08/01/2016_POSP_0157,0.002134009615060,0.241184508573000, ,208,Fusion,1,0.240976678950000,0.002133639992110
67,0,OAH22,0,08/01/2016,POSP, ,158,OAH22_00_08/01/2016_POSP_0158,0.000684679149867,0.101299163577000, ,208,Fusion,1,0.101250581624000,0.000683095000670
68,0,OAH22,2,08/01/2016,POSP, ,159,OAH22_02_08/01/2016_POSP_0159,0.001366245126580,0.166408104237000, ,226,Fusion with 177,1,0.166502809016000,0.001366919999090
69,0,OAH22,2,08/01/2016,POSP, ,160,OAH22_02_08/01/2016_POSP_0160,0.097016384421900,2.041109247150000, ,205,Fusion,1,2.041044560810000,0.097018879906900
70,0,OAH22,2,08/01/2016,POSP, ,161,OAH22_02_08/01/2016_POSP_0161,0.064156416325700,1.735511549200000, ,205,Fusion,1,1.735434435150000,0.064152044980800
71,0,OAH22,6,08/01/2016,POSP, ,162,OAH22_06_08/01/2016_POSP_0162,0.001732157585920,0.158826659487000, ,217, ,1,0.158739867195000,0.001730940000630
72,0,OAH22,6,08/01/2016,POSP, ,163,OAH22_06_08/01/2016_POSP_0163,0.002611679843540,0.205766711686000, ,-99,Mortality,1,0.205706726565000,0.002610449993510
73,0,OAH22,2,08/01/2016,POSP, ,164,OAH22_02_08/01/2016_POSP_0164,0.001743797651500,0.167204757113000, ,227,Fusion,1,0.167202096071000,0.001743630015910
74,0,OAH22,6,08/01/2016,POSP, ,165,OAH22_06_08/01/2016_POSP_0165,0.000306016698851,0.065192653588400, ,221, ,1,0.065271770846800,0.000306624984663
75,0,OAH22,6,08/01/2016,POSP, ,166,OAH22_06_08/01/2016_POSP_0166,0.000578378210772,0.091191753429300, ,225,Fusion,1,0.091315447480100,0.000578455006423
