FID,Id,Site,Circrat,SpeciesCod,ColonyID,PatchID,PatchName,LinkTP_Bac,LinkTP_For,Date,Notes,TimePt,Max_Diam,Poly_Area,Poly_Perim,Shape_Leng,Shape_Area
73,0,OCC_MAI_00,2,POSP, ,151,OCC_MAI_002_02_04/27/2019_POSP_0151,"107,110", ,04/27/2019, ,2,0.0000000,0.0112000,0.4774000,0.477429245484000,0.011189030065900
74,0,OCC_MAI_00,2,POSP, ,152,OCC_MAI_002_02_04/27/2019_POSP_0152,108, ,04/27/2019, ,2,0.0000000,0.0002000,0.0558000,0.055883561899200,0.000210565019985
75,0,OCC_MAI_00,2,POSP, ,153,OCC_MAI_002_02_04/27/2019_POSP_0153,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0009000,0.1209000,0.120902122257000,0.000946309991256
76,0,OCC_MAI_00,2,POSP, ,154,OCC_MAI_002_02_04/27/2019_POSP_0154,121, ,04/27/2019, ,2,0.0000000,0.0011000,0.1414000,0.141224106964000,0.001111924975270
77,0,OCC_MAI_00,2,PMEA, ,155,OCC_MAI_002_02_04/27/2019_PMEA_0155,-99, ,04/27/2019,Recruitment,2,0.0000000,0.0012000,0.1403000,0.140343061565000,0.001192019984920
78,0,OCC_MAI_00,2,POSP, ,156,OCC_MAI_002_02_04/27/2019_POSP_0156,128, ,04/27/2019, ,2,0.0000000,0.0015000,0.1910000,0.191087994871000,0.001489504980430
79,0,OCC_MAI_00,2,POSP, ,157,OCC_MAI_002_02_04/27/2019_POSP_0157,112, ,04/27/2019, ,2,0.0000000,0.0017000,0.1828000,0.182716827752000,0.001696695019280
80,0,OCC_MAI_00,2,POSP, ,158,OCC_MAI_002_02_04/27/2019_POSP_0158,126, ,04/27/2019, ,2,0.0000000,0.0021000,0.1765000,0.176572990448000,0.002098710036420
81,0,OCC_MAI_00,2,POSP, ,159,OCC_MAI_002_02_04/27/2019_POSP_0159,118, ,04/27/2019, ,2,0.0000000,0.0000000,0.0199000,0.019850364060600,0.000025749999687
82,0,OCC_MAI_00,2,POSP, ,160,OCC_MAI_002_02_04/27/2019_POSP_0160,118, ,04/27/2019, ,2,0.0000000,0.0002000,0.0627000,0.062597268760300,0.000190924999307
